# Step	AvgQ	AvgP
0	-0.0368844	0.0621232
1	-0.0373525	0.0115932
2	-0.0364059	-0.0167304
3	-0.0428138	0.130599
4	-0.0363696	-0.126576
5	-0.0363696	0.0732937
6	-0.0404896	0.0847475
7	-0.0404896	-0.0070854
8	-0.0409079	0.0108097
9	-0.034789	-0.12017
10	-0.034789	-0.07475
11	-0.038072	0.0678777
12	-0.0390724	0.0223326
13	-0.0390724	0.0130452
14	-0.0390724	0.0762738
15	-0.0362179	-0.0548617
16	-0.0362179	-0.0351165
17	-0.0336227	-0.0498364
18	-0.0283674	-0.103302
19	-0.0320959	0.0764214
20	-0.0315094	-0.00982801
21	-0.0315094	-0.0891247
22	-0.0309026	-0.0102722
23	-0.0309026	0.000637235
24	-0.0360332	0.104672
25	-0.0366258	0.0140373
26	-0.0345663	-0.0390771
27	-0.0380059	0.0710039
28	-0.036948	-0.0189217
29	-0.0332804	-0.0712824
30	-0.0345424	0.027286
31	-0.0356485	0.024238
32	-0.0340507	-0.029883
33	-0.031521	-0.048654
34	-0.0381294	0.134324
35	-0.0381294	-0.160078
36	-0.0381294	0.0883204
37	-0.0353708	-0.0529951
38	-0.0353708	0.0177618
39	-0.0345733	-0.0138618
40	-0.0345733	-0.0203254
41	-0.0329785	-0.0298859
42	-0.0329785	-0.00420616
43	-0.027679	-0.104226
44	-0.0278077	0.00423828
45	-0.0236221	-0.0822109
46	-0.0276188	0.0815098
47	-0.0265655	-0.0194506
48	-0.0265655	-0.0701401
49	-0.0325581	0.121686
50	-0.0325581	0.0774927
51	-0.0325581	0.0558495
52	-0.0389231	0.129507
53	-0.0373415	-0.029361
54	-0.0361538	-0.0215625
55	-0.0332514	-0.0559957
56	-0.0379543	0.0962399
57	-0.0379543	-0.0426194
58	-0.0354044	-0.048825
59	-0.0354044	0.126309
60	-0.035454	0.0031183
61	-0.0341189	-0.0246305
62	-0.0341189	-0.096041
63	-0.0341189	0.0240621
64	-0.0405949	0.131828
65	-0.0402381	-0.00471618
66	-0.0414041	0.0257802
67	-0.0449084	0.0727101
68	-0.0455956	0.0164634
69	-0.0455956	0.0101438
70	-0.0455956	0.0243073
71	-0.0455956	-0.0565764
72	-0.047227	0.0354285
73	-0.047227	0.0759279
74	-0.051795	0.0943754
75	-0.051795	-0.00703673
76	-0.0474221	-0.0845278
77	-0.0502007	0.0585283
78	-0.048445	-0.032175
79	-0.0486156	0.00632411
80	-0.0462493	-0.0445045
81	-0.0499478	0.0768919
82	-0.0499478	0.0148658
83	-0.0493521	-0.00894325
84	-0.0493521	-0.085808
85	-0.0493521	0.0497428
86	-0.0500376	0.0166987
87	-0.0500376	-0.00762961
